;Title;Production
0;Bridgerton;Netflix
1;Cobra Kai;Netflix
2;Money Heist;Netflix
3;Lucifer;Netflix
4;Peaky Blinders;Netflix
5;Chilling Adventures of Sabrina;Netflix
6;The Seven Deadly Sins;Netflix
7;Dragons: Race to the Edge;Netflix
8;The Queen's Gambit;Netflix
9;The Crown;Netflix
10;Locked Up;Netflix
11;We Can Be Heroes;Netflix
12;Anne with an E;Netflix
13;Stranger Things;Netflix
14;The Umbrella Academy;Netflix
15;Virgin River;Netflix
16;Mako Mermaids: An H2O Adventure;Netflix
17;El Dragón: Return of a Warrior;Netflix
18;Free Rein;Netflix
19;Trollhunters: Tales of Arcadia;Netflix
20;Shooter;Netflix
21;Shadowhunters: The Mortal Instruments;Netflix
22;Emily in Paris;Netflix
23;Spirit Riding Free;Netflix
24;Lupin;Netflix
25;Elite;Netflix
26;Jurassic World Camp Cretaceous;Netflix
27;Orange Is the New Black;Netflix
28;The Witcher;Netflix
29;Star Trek: Discovery;Netflix
30;Tiny Pretty Things;Netflix
31;Dynasty;Netflix
32;Sex Education;Netflix
33;Narcos;Netflix
34;The Last Kingdom;Netflix
35;You;Netflix
36;Gabby's Dollhouse;Netflix
37;Kakegurui;Netflix
38;Lost in Space;Netflix
39;13 Reasons Why;Netflix
40;Marvel's Iron Fist;Netflix
41;Good Morning, Verônica;Netflix
42;Sintonia;Netflix
43;Designated Survivor;Netflix
44;El Chapo;Netflix
45;She-Ra and the Princesses of Power;Netflix
46;Dark Desire;Netflix
47;Good Girls;Netflix
48;La Reina del Sur;Netflix
49;The Worst Witch;Netflix
50;Just Another Christmas;Netflix
51;Ozark;Netflix
52;Titans;Netflix
53;Marvel's The Punisher;Netflix
54;The Yard;Netflix
55;The Boss Baby: Back in Business;Netflix
56;Julie and the Phantoms;Netflix
57;Alexa & Katie;Netflix
58;Go! Live Your Way;Netflix
59;Pup Academy;Netflix
60;Meteor Garden;Netflix
61;Disenchantment;Netflix
62;Unauthorized Living;Netflix
63;Atypical;Netflix
64;Extraction;Netflix
65;Surviving Death;Netflix
66;The SpongeBob Movie: Sponge on the Run;Netflix
67;Dark;Netflix
68;The Old Guard;Netflix
69;Chip and Potato;Netflix
70;All Hail King Julien;Netflix
71;Greenleaf;Netflix
72;Alice in Borderland;Netflix
73;Over the Moon;Netflix
74;Spenser Confidential;Netflix
75;Elite;Netflix
76;Tiny Pretty Things;Netflix
77;Narcos;Netflix
78;You;Netflix
79;Lost in Space;Netflix
80;13 Reasons Why;Netflix
81;Marvel's Iron Fist;Netflix
82;Good Morning, Verônica;Netflix
83;Designated Survivor;Netflix
84;Dark Desire;Netflix
85;Good Girls;Netflix
86;La Reina del Sur;Netflix
87;The Yard;Netflix
88;Dark;Netflix
89;Alice in Borderland;Netflix
90;Orphan Black;Netflix
91;The Haunting of Bly Manor;Netflix
92;The Order;Netflix
93;Sweet Home;Netflix
94;The Rain;Netflix
95;Toy Boy;Netflix
96;The Haunting of Hill House;Netflix
97;The Alienist;Netflix
98;Mystery Lab;Netflix
99;The Mess You Leave Behind;Netflix
100;The Protector;Netflix
101;Black Mirror;Netflix
102;Scream;Netflix
103;To the Lake;Netflix
104;Ingobernable;Netflix
105;Messiah;Netflix
106;The Barrier;Netflix
107;Sense8;Netflix
108;Bordertown;Netflix
109;Warrior Nun;Netflix
110;The Forest;Netflix
111;Undercover;Netflix
112;The A List;Netflix
113;La Mante;Netflix
114;High Seas;Netflix
115;Ratched;Netflix
116;Better Than Us;Netflix
117;The Stranger;Netflix
118;Hemlock Grove;Netflix
119;Manhunt;Netflix
120;The Sinner;Netflix
121;The Mist;Netflix
122;Somewhere Between;Netflix
123;The Society;Netflix
124;Bloodline;Netflix
125;Safe;Netflix
126;Bodyguard;Netflix
127;Wanted;Netflix
128;Marvel's The Defenders;Netflix
129;72 Dangerous Animals: Latin America;Netflix
130;Blood & Water;Netflix
131;72 Dangerous Animals: Asia;Netflix
132;Slasher;Netflix
133;Into the Night;Netflix
134;Caliphate;Netflix
135;V Wars;Netflix
136;Deadwind;Netflix
137;Bad Blood;Netflix
138;The Gift;Netflix
139;The Great Heist;Netflix
140;Black Summer;Netflix
141;Marianne;Netflix
142;WHAT / IF;Netflix
143;7SEEDS;Netflix
144;Black Spot;Netflix
145;The Break;Netflix
146;Dracula;Netflix
147;The I-Land;Netflix
148;Another Life;Netflix
149;The Valhalla Murders;Netflix
150;The Queen's Gambit;Netflix
151;The Crown;Netflix
152;Locked Up;Netflix
153;We Can Be Heroes;Netflix
154;The Umbrella Academy;Netflix
155;Virgin River;Netflix
156;El Dragón: Return of a Warrior;Netflix
157;Emily in Paris;Netflix
158;Lupin;Netflix
159;Elite;Netflix
160;Jurassic World Camp Cretaceous;Netflix
161;Star Trek: Discovery;Netflix
162;Tiny Pretty Things;Netflix
163;Sex Education;Netflix
164;The Last Kingdom;Netflix
165;Gabby's Dollhouse;Netflix
166;13 Reasons Why;Netflix
167;Good Morning, Verônica;Netflix
168;She-Ra and the Princesses of Power;Netflix
169;Dark Desire;Netflix
170;Good Girls;Netflix
171;The Worst Witch;Netflix
172;Just Another Christmas;Netflix
173;Ozark;Netflix
174;The Boss Baby: Back in Business;Netflix
175;Julie and the Phantoms;Netflix
176;Alexa & Katie;Netflix
177;Pup Academy;Netflix
178;Unauthorized Living;Netflix
179;Extraction;Netflix
180;Surviving Death;Netflix
181;The SpongeBob Movie: Sponge on the Run;Netflix
182;Dark;Netflix
183;The Old Guard;Netflix
184;Greenleaf;Netflix
185;Alice in Borderland;Netflix
186;Over the Moon;Netflix
187;Spenser Confidential;Netflix
188;The Haunting of Bly Manor;Netflix
189;The Kissing Booth 2;Netflix
190;Fast & Furious Spy Racers;Netflix
191;Enola Holmes;Netflix
192;Outer Banks;Netflix
193;Feel the Beat;Netflix
194;Better Call Saul;Netflix
195;The Order;Netflix
196;Pieces of a Woman;Netflix
197;Greenhouse Academy;Netflix
198;Never Have I Ever;Netflix
199;Hilda;Netflix
200;Sweet Home;Netflix
201;Ava;Netflix
202;Anitta: Made In Honório;Netflix
203;Monarca;Netflix
204;Fuller House;Netflix
205;The Ranch;Netflix
206;The Rain;Netflix
207;The Last Dance;Netflix
208;The Midnight Sky;Netflix
209;The Good Place;Netflix
210;Airplane Mode;Netflix
211;Grace and Frankie;Netflix
212;Car Masters: Rust to Riches;Netflix
213;How to Sell Drugs Online (Fast);Netflix
214;A Fall from Grace;Netflix
215;Headspace Guide to Meditation;Netflix
216;Home for Christmas;Netflix
217;The Uncanny Counter;Netflix
218;Pets United;Netflix
219;Project Power;Netflix
220;Ragnarok;Netflix
221;The Circle Brazil;Netflix
222;The Christmas Chronicles: Part Two;Netflix
223;Holidate;Netflix
224;Family Reunion;Netflix
225;Dragons: Race to the Edge;Netflix
226;Anne with an E;Netflix
227;Mako Mermaids: An H2O Adventure;Netflix
228;Free Rein;Netflix
229;Trollhunters: Tales of Arcadia;Netflix
230;Spirit Riding Free;Netflix
231;Jurassic World Camp Cretaceous;Netflix
232;Gabby's Dollhouse;Netflix
233;Lost in Space;Netflix
234;She-Ra and the Princesses of Power;Netflix
235;The Worst Witch;Netflix
236;The Boss Baby: Back in Business;Netflix
237;Julie and the Phantoms;Netflix
238;Alexa & Katie;Netflix
239;Go! Live Your Way;Netflix
240;Pup Academy;Netflix
241;Chip and Potato;Netflix
242;All Hail King Julien;Netflix
243;Fast & Furious Spy Racers;Netflix
244;Greenhouse Academy;Netflix
245;Hilda;Netflix
246;Fuller House;Netflix
247;The Dragon Prince;Netflix
248;Project Mc²;Netflix
249;The Adventures of Puss in Boots;Netflix
250;Turbo FAST;Netflix
251;Family Reunion;Netflix
252;Dinotrux;Netflix
253;Carmen Sandiego;Netflix
254;One Day at a Time;Netflix
255;The Baby-Sitters Club;Netflix
256;Dawn of the Croods;Netflix
257;A Series of Unfortunate Events;Netflix
258;The Epic Tales of Captain Underpants;Netflix
259;Trolls: The Beat Goes On!;Netflix
260;Marlon;Netflix
261;Glitter Force;Netflix
262;Kipo and the Age of Wonderbeasts;Netflix
263;Ever After High;Netflix
264;The New Legends of Monkey;Netflix
265;Mighty Little Bheem;Netflix
266;Richie Rich;Netflix
267;Spirit Riding Free: Riding Academy;Netflix
268;Malibu Rescue: The Series;Netflix
269;The InBESTigators;Netflix
270;Mighty Little Bheem: Kite Festival;Netflix
271;Edgar Rice Burroughs' Tarzan and Jane;Netflix
272;Dinotrux Supercharged;Netflix
273;Wizards: Tales of Arcadia;Netflix
274;H2O: Mermaid Adventures;Netflix
275;Voltron: Legendary Defender;Netflix
276;True and the Rainbow Kingdom;Netflix
277;3Below: Tales of Arcadia;Netflix
278;Hello Ninja;Netflix
279;Some Assembly Required;Netflix
280;All Hail King Julien: Exiled;Netflix
281;The Last Kids on Earth;Netflix
282;Wakfu;Netflix
283;Super Monsters;Netflix
284;Raising Dion;Netflix
285;The Boss Baby: Get That Baby!;Netflix
286;Creeped Out;Netflix
287;Kong: King of the Apes;Netflix
288;World of Winx;Netflix
289;Glitter Force Doki Doki;Netflix
290;Shaun the Sheep: Adventures from Mossy Bottom;Netflix
291;Spirit Riding Free: Pony Tales;Netflix
292;Word Party;Netflix
293;Dragons: Rescue Riders;Netflix
294;Ashley Garcia: Genius in Love;Netflix
295;THE UNLISTED;Netflix
296;Team Kaylie;Netflix
297;True: Wonderful Wishes;Netflix
298;Sugar Rush;Netflix
299;The Big Show Show;Netflix
300;Stranger Things;Netflix
301;Shooter;Netflix
302;Shadowhunters: The Mortal Instruments;Netflix
303;Emily in Paris;Netflix
304;Orange Is the New Black;Netflix
305;The Witcher;Netflix
306;Star Trek: Discovery;Netflix
307;Tiny Pretty Things;Netflix
308;Dynasty;Netflix
309;Narcos;Netflix
310;You;Netflix
311;Lost in Space;Netflix
312;13 Reasons Why;Netflix
313;Marvel's Iron Fist;Netflix
314;Designated Survivor;Netflix
315;El Chapo;Netflix
316;Good Girls;Netflix
317;Ozark;Netflix
318;Titans;Netflix
319;Marvel's The Punisher;Netflix
320;Big Mouth;Netflix
321;Disenchantment;Netflix
322;Atypical;Netflix
323;Surviving Death;Netflix
324;Greenleaf;Netflix
325;The Haunting of Bly Manor;Netflix
326;Marvel's Daredevil;Netflix
327;Outer Banks;Netflix
328;Better Call Saul;Netflix
329;BoJack Horseman;Netflix
330;Never Have I Ever;Netflix
331;Our Planet;Netflix
332;Fuller House;Netflix
333;The Ranch;Netflix
334;The Last Dance;Netflix
335;The Good Place;Netflix
336;Insatiable;Netflix
337;Grace and Frankie;Netflix
338;Car Masters: Rust to Riches;Netflix
339;Headspace Guide to Meditation;Netflix
340;Castlevania;Netflix
341;The Haunting of Hill House;Netflix
342;The Alienist;Netflix
343;MINDHUNTER;Netflix
344;One Day at a Time;Netflix
345;Black Lightning;Netflix
346;On My Block;Netflix
347;Marvel's Luke Cage;Netflix
348;Marco Polo;Netflix
349;Scream;Netflix
350;RuPaul's Drag Race;Netflix
351;Formula 1: Drive to Survive;Netflix
352;Marlon;Netflix
353;When They See Us;Netflix
354;Ultimate Beastmaster Brasil;Netflix
355;Narcos: Mexico;Netflix
356;Marvel's Jessica Jones;Netflix
357;House of Cards;Netflix
358;Locke & Key;Netflix
359;Unbelievable;Netflix
360;Sweet Magnolias;Netflix
361;Self Made: Inspired by the Life of Madam C.J. Walker;Netflix
362;Love Is Blind;Netflix
363;Cursed;Netflix
364;The Trials of Gabriel Fernandez;Netflix
365;Santa Clarita Diet;Netflix
366;Final Space;Netflix
367;Messiah;Netflix
368;Godless;Netflix
369;Sense8;Netflix
370;Dirk Gently's Holistic Detective Agency;Netflix
371;Snowpiercer;Netflix
372;Warrior Nun;Netflix
373;Spinning Out;Netflix
374;Trinkets;Netflix
375;Star Trek: Discovery;Netflix
376;La Reina del Sur;Netflix
377;Ozark;Netflix
378;Big Mouth;Netflix
379;Greenleaf;Netflix
380;Orphan Black;Netflix
381;Crash Landing on You;Netflix
382;Better Call Saul;Netflix
383;Cable Girls;Netflix
384;BoJack Horseman;Netflix
385;Our Planet;Netflix
386;The Last Dance;Netflix
387;The Good Place;Netflix
388;The End of the F***ing World;Netflix
389;The Alienist;Netflix
390;One Day at a Time;Netflix
391;Itaewon Class;Netflix
392;Black Mirror;Netflix
393;RuPaul's Drag Race;Netflix
394;When They See Us;Netflix
395;House of Cards;Netflix
396;Unbelievable;Netflix
397;Glitch;Netflix
398;Godless;Netflix
399;Sense8;Netflix
400;Dead to Me;Netflix
401;Unorthodox;Netflix
402;The Queen of Flow;Netflix
403;Bloodline;Netflix
404;Bodyguard;Netflix
405;Queer Eye;Netflix
406;Arrested Development;Netflix
407;Marcella;Netflix
408;Mr. Sunshine;Netflix
409;Love, Death & Robots;Netflix
410;Slasher;Netflix
411;Unbreakable Kimmy Schmidt;Netflix
412;Alias Grace;Netflix
