	Title	Production
0	Bridgerton	Netflix
1	Cobra Kai	Netflix
2	Lupin	Netflix
3	Money Heist	Netflix
4	Peaky Blinders	Netflix
5	Dragons: Race to the Edge	Netflix
6	Lucifer	Netflix
7	The Queen's Gambit	Netflix
8	The Seven Deadly Sins	Netflix
9	Locked Up	Netflix
10	Stranger Things	Netflix
11	Anne with an E	Netflix
12	The Crown	Netflix
13	We Can Be Heroes	Netflix
14	Free Rein	Netflix
15	Spirit Riding Free	Netflix
16	Chilling Adventures of Sabrina	Netflix
17	Shadowhunters: The Mortal Instruments	Netflix
18	Virgin River	Netflix
19	El Dragón: Return of a Warrior	Netflix
20	The Umbrella Academy	Netflix
21	Gabby's Dollhouse	Netflix
22	Mako Mermaids: An H2O Adventure	Netflix
23	Trollhunters: Tales of Arcadia	Netflix
24	The Last Kingdom	Netflix
25	Kakegurui	Netflix
26	Elite	Netflix
27	Sex Education	Netflix
28	Jurassic World Camp Cretaceous	Netflix
29	The Witcher	Netflix
30	Tiny Pretty Things	Netflix
31	Narcos	Netflix
32	Dark Desire	Netflix
33	Disenchantment	Netflix
34	Star Trek: Discovery	Netflix
35	Shooter	Netflix
36	Designated Survivor	Netflix
37	Marvel's The Punisher	Netflix
38	La Reina del Sur	Netflix
39	Emily in Paris	Netflix
40	Good Girls	Netflix
41	The Worst Witch	Netflix
42	Dynasty	Netflix
43	Good Morning, Verônica	Netflix
44	Orange Is the New Black	Netflix
45	You	Netflix
46	Marvel's Iron Fist	Netflix
47	Alice in Borderland	Netflix
48	Lost in Space	Netflix
49	Unauthorized Living	Netflix
50	El Chapo	Netflix
51	Sintonia	Netflix
52	The Boss Baby: Back in Business	Netflix
53	Feel the Beat	Netflix
54	Alexa & Katie	Netflix
55	Meteor Garden	Netflix
56	The SpongeBob Movie: Sponge on the Run	Netflix
57	Orphan Black	Netflix
58	Atypical	Netflix
59	Surviving Death	Netflix
60	Outer Banks	Netflix
61	Just Another Christmas	Netflix
62	Ozark	Netflix
63	Go! Live Your Way	Netflix
64	Titans	Netflix
65	The Yard	Netflix
66	13 Reasons Why	Netflix
67	Extraction	Netflix
68	She-Ra and the Princesses of Power	Netflix
69	Dark	Netflix
70	Julie and the Phantoms	Netflix
71	Over the Moon	Netflix
72	Crash Landing on You	Netflix
73	Pup Academy	Netflix
74	The Kissing Booth 2	Netflix
75	Lucifer	Netflix
76	Stranger Things	Netflix
77	Chilling Adventures of Sabrina	Netflix
78	Shadowhunters: The Mortal Instruments	Netflix
79	The Umbrella Academy	Netflix
80	Trollhunters: Tales of Arcadia	Netflix
81	Jurassic World Camp Cretaceous	Netflix
82	The Witcher	Netflix
83	Disenchantment	Netflix
84	Star Trek: Discovery	Netflix
85	Alice in Borderland	Netflix
86	Lost in Space	Netflix
87	Orphan Black	Netflix
88	Titans	Netflix
89	She-Ra and the Princesses of Power	Netflix
90	Dark	Netflix
91	Sweet Home	Netflix
92	The Uncanny Counter	Netflix
93	The Rain	Netflix
94	The Dragon Prince	Netflix
95	Van Helsing	Netflix
96	The Order	Netflix
97	The Haunting of Bly Manor	Netflix
98	My Holo Love	Netflix
99	Black Lightning	Netflix
100	The King: Eternal Monarch	Netflix
101	The Protector	Netflix
102	Cursed	Netflix
103	The Barrier	Netflix
104	Always a Witch	Netflix
105	3%	Netflix
106	Dirk Gently's Holistic Detective Agency	Netflix
107	Locke & Key	Netflix
108	The Haunting of Hill House	Netflix
109	Black Mirror	Netflix
110	Wizards: Tales of Arcadia	Netflix
111	To the Lake	Netflix
112	Sense8	Netflix
113	Raising Dion	Netflix
114	Ratched	Netflix
115	Warrior Nun	Netflix
116	Scream	Netflix
117	Altered Carbon	Netflix
118	Away	Netflix
119	The New Legends of Monkey	Netflix
120	Snowpiercer	Netflix
121	Glitch	Netflix
122	Travelers	Netflix
123	Better Than Us	Netflix
124	Kingdom	Netflix
125	I Am Not Okay With This	Netflix
126	3Below: Tales of Arcadia	Netflix
127	Santa Clarita Diet	Netflix
128	The Mist	Netflix
129	Into the Night	Netflix
130	Hemlock Grove	Netflix
131	Diablero	Netflix
132	Daybreak	Netflix
133	The OA	Netflix
134	Luna Nera	Netflix
135	From Dusk Till Dawn	Netflix
136	V Wars	Netflix
137	Abyss	Netflix
138	Wu Assassins	Netflix
139	Handsome Siblings	Netflix
140	Black Summer	Netflix
141	The I-Land	Netflix
142	Another Life	Netflix
143	Dracula	Netflix
144	Marianne	Netflix
145	The Letter for the King	Netflix
146	Alien Worlds	Netflix
147	Black	Netflix
148	Curon	Netflix
149	Biohackers	Netflix
150	The Queen's Gambit	Netflix
151	Virgin River	Netflix
152	The Witcher	Netflix
153	Tiny Pretty Things	Netflix
154	Narcos	Netflix
155	Disenchantment	Netflix
156	Star Trek: Discovery	Netflix
157	Shooter	Netflix
158	Designated Survivor	Netflix
159	Marvel's The Punisher	Netflix
160	Emily in Paris	Netflix
161	Good Girls	Netflix
162	Dynasty	Netflix
163	Orange Is the New Black	Netflix
164	You	Netflix
165	Marvel's Iron Fist	Netflix
166	Lost in Space	Netflix
167	El Chapo	Netflix
168	Big Mouth	Netflix
169	Atypical	Netflix
170	Surviving Death	Netflix
171	Outer Banks	Netflix
172	Ozark	Netflix
173	Titans	Netflix
174	13 Reasons Why	Netflix
175	Greenleaf	Netflix
176	The Good Place	Netflix
177	Fuller House	Netflix
178	Marvel's Daredevil	Netflix
179	Our Planet	Netflix
180	Never Have I Ever	Netflix
181	Castlevania	Netflix
182	BoJack Horseman	Netflix
183	The Haunting of Bly Manor	Netflix
184	On My Block	Netflix
185	Better Call Saul	Netflix
186	The Ranch	Netflix
187	Marvel's Luke Cage	Netflix
188	Grace and Frankie	Netflix
189	Black Lightning	Netflix
190	When They See Us	Netflix
191	The Last Dance	Netflix
192	Self Made: Inspired by the Life of Madam C.J. Walker	Netflix
193	Insatiable	Netflix
194	Sweet Magnolias	Netflix
195	Marvel's Jessica Jones	Netflix
196	The Alienist	Netflix
197	Love Is Blind	Netflix
198	Cursed	Netflix
199	RuPaul's Drag Race	Netflix
200	Formula 1: Drive to Survive	Netflix
201	Dirk Gently's Holistic Detective Agency	Netflix
202	MINDHUNTER	Netflix
203	Locke & Key	Netflix
204	Unbelievable	Netflix
205	The Haunting of Hill House	Netflix
206	Blood of Zeus	Netflix
207	The Trials of Gabriel Fernandez	Netflix
208	Dead to Me	Netflix
209	One Day at a Time	Netflix
210	Car Masters: Rust to Riches	Netflix
211	Narcos: Mexico	Netflix
212	Sense8	Netflix
213	Spinning Out	Netflix
214	Marco Polo	Netflix
215	Marlon	Netflix
216	Bloodline	Netflix
217	House of Cards	Netflix
218	Headspace Guide to Meditation	Netflix
219	F is for Family	Netflix
220	Ratched	Netflix
221	You Me Her	Netflix
222	Warrior Nun	Netflix
223	Scream	Netflix
224	Too Hot to Handle	Netflix
225	Sex Education	Netflix
226	Emily in Paris	Netflix
227	Good Girls	Netflix
228	Orange Is the New Black	Netflix
229	The Boss Baby: Back in Business	Netflix
230	Alexa & Katie	Netflix
231	Atypical	Netflix
232	Julie and the Phantoms	Netflix
233	Crash Landing on You	Netflix
234	Pup Academy	Netflix
235	The Good Place	Netflix
236	Fuller House	Netflix
237	Never Have I Ever	Netflix
238	Family Reunion	Netflix
239	On My Block	Netflix
240	All Hail King Julien	Netflix
241	The Ranch	Netflix
242	A Series of Unfortunate Events	Netflix
243	The End of the F***ing World	Netflix
244	Grace and Frankie	Netflix
245	Malibu Rescue: The Series	Netflix
246	Start-Up	Netflix
247	How to Sell Drugs Online (Fast)	Netflix
248	Trolls: The Beat Goes On!	Netflix
249	Insatiable	Netflix
250	Well-Intended Love	Netflix
251	The Adventures of Puss in Boots	Netflix
252	The InBESTigators	Netflix
253	Richie Rich	Netflix
254	The Last Kids on Earth	Netflix
255	It's Okay to Not Be Okay	Netflix
256	Always a Witch	Netflix
257	Dirk Gently's Holistic Detective Agency	Netflix
258	The Epic Tales of Captain Underpants	Netflix
259	Dead to Me	Netflix
260	Home for Christmas	Netflix
261	One Day at a Time	Netflix
262	Mighty Little Bheem	Netflix
263	Marlon	Netflix
264	Accidentally in Love	Netflix
265	Romance Is a Bonus Book	Netflix
266	Rita	Netflix
267	Kipo and the Age of Wonderbeasts	Netflix
268	You Me Her	Netflix
269	Dragons: Rescue Riders	Netflix
270	Good Morning Call	Netflix
271	Shaun the Sheep: Adventures from Mossy Bottom	Netflix
272	Some Assembly Required	Netflix
273	The Boss Baby: Get That Baby!	Netflix
274	Workin' Moms	Netflix
275	I Am Not Okay With This	Netflix
276	The Big Show Show	Netflix
277	Santa Clarita Diet	Netflix
278	Team Kaylie	Netflix
279	Ashley Garcia: Genius in Love	Netflix
280	Do Do Sol Sol La La Sol	Netflix
281	AJ and the Queen	Netflix
282	Daybreak	Netflix
283	Mr. Iglesias	Netflix
284	All Hail King Julien: Exiled	Netflix
285	Green Eggs and Ham	Netflix
286	Valeria	Netflix
287	The Healing Powers of Dude	Netflix
288	Alien TV	Netflix
289	Hi Bye, Mama!	Netflix
290	Call My Agent!	Netflix
291	No Good Nick	Netflix
292	Teenage Bounty Hunters	Netflix
293	The Hook Up Plan	Netflix
294	Mighty Little Bheem: Kite Festival	Netflix
295	DASH & LILY	Netflix
296	Absurd Planet	Netflix
297	Disjointed	Netflix
298	Close Enough	Netflix
299	Hospital Playlist	Netflix
300	Locked Up	Netflix
301	The Crown	Netflix
302	We Can Be Heroes	Netflix
303	El Dragón: Return of a Warrior	Netflix
304	Gabby's Dollhouse	Netflix
305	The Last Kingdom	Netflix
306	Elite	Netflix
307	Sex Education	Netflix
308	Jurassic World Camp Cretaceous	Netflix
309	Tiny Pretty Things	Netflix
310	Dark Desire	Netflix
311	Star Trek: Discovery	Netflix
312	Emily in Paris	Netflix
313	Good Girls	Netflix
314	The Worst Witch	Netflix
315	Good Morning, Verônica	Netflix
316	Alice in Borderland	Netflix
317	Unauthorized Living	Netflix
318	The Boss Baby: Back in Business	Netflix
319	Feel the Beat	Netflix
320	Alexa & Katie	Netflix
321	The SpongeBob Movie: Sponge on the Run	Netflix
322	Surviving Death	Netflix
323	Outer Banks	Netflix
324	Just Another Christmas	Netflix
325	Ozark	Netflix
326	13 Reasons Why	Netflix
327	Extraction	Netflix
328	She-Ra and the Princesses of Power	Netflix
329	Dark	Netflix
330	Julie and the Phantoms	Netflix
331	Over the Moon	Netflix
332	Pup Academy	Netflix
333	The Kissing Booth 2	Netflix
334	Greenleaf	Netflix
335	The Good Place	Netflix
336	Fuller House	Netflix
337	Enola Holmes	Netflix
338	Fast & Furious Spy Racers	Netflix
339	Spenser Confidential	Netflix
340	The Old Guard	Netflix
341	Never Have I Ever	Netflix
342	Sweet Home	Netflix
343	Anitta: Made In Honório	Netflix
344	Greenhouse Academy	Netflix
345	The Uncanny Counter	Netflix
346	Family Reunion	Netflix
347	The Rain	Netflix
348	The Order	Netflix
349	The Haunting of Bly Manor	Netflix
350	On My Block	Netflix
351	The Baby-Sitters Club	Netflix
352	Carmen Sandiego	Netflix
353	Airplane Mode	Netflix
354	Better Call Saul	Netflix
355	The Ranch	Netflix
356	Hilda	Netflix
357	Work It	Netflix
358	My Holo Love	Netflix
359	Ava	Netflix
360	To All the Boys: P.S. I Still Love You	Netflix
361	Ragnarok	Netflix
362	Monarca	Netflix
363	Pieces of a Woman	Netflix
364	Record of Youth	Netflix
365	Grace and Frankie	Netflix
366	Pets United	Netflix
367	The Midnight Sky	Netflix
368	A Fall from Grace	Netflix
369	Start-Up	Netflix
370	How to Sell Drugs Online (Fast)	Netflix
371	The King: Eternal Monarch	Netflix
372	The Last Dance	Netflix
373	Self Made: Inspired by the Life of Madam C.J. Walker	Netflix
374	Holidate	Netflix
375	Anne with an E	Netflix
376	Free Rein	Netflix
377	Spirit Riding Free	Netflix
378	Mako Mermaids: An H2O Adventure	Netflix
379	Jurassic World Camp Cretaceous	Netflix
380	The Worst Witch	Netflix
381	Lost in Space	Netflix
382	The Boss Baby: Back in Business	Netflix
383	Alexa & Katie	Netflix
384	Go! Live Your Way	Netflix
385	She-Ra and the Princesses of Power	Netflix
386	Julie and the Phantoms	Netflix
387	Pup Academy	Netflix
388	Fuller House	Netflix
389	Fast & Furious Spy Racers	Netflix
390	Chip and Potato	Netflix
391	Greenhouse Academy	Netflix
392	Turbo FAST	Netflix
393	Family Reunion	Netflix
394	The Dragon Prince	Netflix
395	The Baby-Sitters Club	Netflix
396	Carmen Sandiego	Netflix
397	All Hail King Julien	Netflix
398	Hilda	Netflix
399	Project Mc²	Netflix
400	A Series of Unfortunate Events	Netflix
401	Malibu Rescue: The Series	Netflix
402	Glitter Force	Netflix
403	Trolls: The Beat Goes On!	Netflix
404	The Adventures of Puss in Boots	Netflix
405	The InBESTigators	Netflix
406	Dinotrux	Netflix
407	Richie Rich	Netflix
